#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0166427	FBti0166427	mAChR-A	Mi{MIC}	-1	-	59216 y[1] w[*]; Mi{MIC}mAChR-A[MI13848]	Mi{MIC}mAChR-A[MI13848]
FBti0178526	FBti0178526	GLaz	Mi{PT-GFSTF.0}	-1	-	60526 y[1] w[67c23]; Mi{PT-GFSTF.0}GLaz[MI02243-GFSTF.0]	Mi{PT-GFSTF.0}GLaz[MI02243-GFSTF.0]
FBti0210056	FBti0210056	mAChR-A	Mi{GT-GAL4}	-	-	-	Mi{GT-GAL4}mAChR-A[MI13848-GAL4]
FBti0166448	FBti0166448	kek6	Mi{MIC}	1	-	59237 y[1] w[*]; Mi{MIC}kek6[MI13953]	Mi{MIC}kek6[MI13953]
FBti0178296	FBti0178296	Ance	Mi{PT-GFSTF.1}	1	-	59828 y[1] w[67c23]; Mi{PT-GFSTF.1}Ance[MI05748-GFSTF.1]/SM6a	Mi{PT-GFSTF.1}Ance[MI05748-GFSTF.1]
FBti0178450	FBti0178450	Ser	Mi{PT-GFSTF.0}	-1	-	59824 y[1] w[*]; Mi{PT-GFSTF.0}Ser[MI05334-GFSTF.0]/TM6C, Sb[1] Tb[1]	Mi{PT-GFSTF.0}Ser[MI05334-GFSTF.0]
FBti0145278	FBti0145278	grim <newline> asRNA:CR45974	Mi{MIC}	-1	-	36978 y[1] w[*]; Mi{MIC}grim[MI03811]/TM3, Sb[1] Ser[1]	Mi{MIC}grim[MI03811]
FBti0151460	FBti0151460	ClC-a	Mi{MIC}	-1	-	43680 y[1] w[*]; Mi{MIC}ClC-a[MI05423]/TM3, Sb[1] Ser[1]	Mi{MIC}ClC-a[MI05423]
FBti0147757	FBti0147757	Avic\GFP <newline> wnd	Mi{PT-GFSTF.2}	-1	-	39656 y[1] w[*]; Mi{PT-GFSTF.2}wnd[MI00494-GFSTF.2]/TM6B, Tb[1]	Mi{PT-GFSTF.2}wnd[MI00494-GFSTF.2]
FBti0178469	FBti0178469	Ten-m	Mi{PT-GFSTF.1}	-1	-	59798 y[1] w[*]; Mi{PT-GFSTF.1}Ten-m[MI02844-GFSTF.1]/TM6C, Sb[1] Tb[+]	Mi{PT-GFSTF.1}Ten-m[MI02844-GFSTF.1]
FBti0145240	FBti0145240	Fhos	Mi{MIC}	1	-	37016 y[1] w[*]; Mi{MIC}Fhos[MI01421]/TM3, Sb[1] Ser[1]	Mi{MIC}Fhos[MI01421]
