#SUBMITTED ID	FBID_KEY	AFFECTED_GENES	INSERTED_ELEMENT	LOCATION_STRAND	NAME	STOCKS	SYMBOL
FBti0206869	FBti0206869	CG5861	TI{CRIMIC.TG4.2}	-1	-	83231 y[1] w[*]; TI{CRIMIC.TG4.2}CG5861[CR00979-TG4.2]/SM6a	TI{CRIMIC.TG4.2}CG5861[CR00979-TG4.2]
FBti0206870	FBti0206870	TBC1D23	TI{CRIMIC.TG4.2}	1	-	83232 y[1] w[*]; TI{CRIMIC.TG4.2}TBC1D23[CR00980-TG4.2]	TI{CRIMIC.TG4.2}TBC1D23[CR00980-TG4.2]
FBti0206871	FBti0206871	Ndf <newline> asRNA:CR44873	TI{CRIMIC.TG4.2}	1	-	83233 y[1] w[*]; TI{CRIMIC.TG4.2}Ndf[CR00981-TG4.2] asRNA:CR44873[CR00981-TG4.2-X]/SM6a	TI{CRIMIC.TG4.2}Ndf[CR00981-TG4.2]
FBti0206872	FBti0206872	Br140	TI{CRIMIC.TG4.2}	-1	-	83235 y[1] w[*]; TI{CRIMIC.TG4.2}Br140[CR00983-TG4.2]/SM6a	TI{CRIMIC.TG4.2}Br140[CR00983-TG4.2]
FBti0206873	FBti0206873	Rpn13	TI{CRIMIC.TG4.2}	-1	-	-	TI{CRIMIC.TG4.2}Rpn13[CR00984-TG4.2]
FBti0206875	FBti0206875	CG11474	TI{CRIMIC.TG4.2}	-1	-	83238 y[1] w[*]; TI{CRIMIC.TG4.2}CG11474[CR00987-TG4.2]	TI{CRIMIC.TG4.2}CG11474[CR00987-TG4.2]
FBti0206877	FBti0206877	jub	TI{CRIMIC.TG4.1}	-1	-	83240 y[1] w[*] TI{CRIMIC.TG4.1}jub[CR00993-TG4.1]/FM7h	TI{CRIMIC.TG4.1}jub[CR00993-TG4.1]
FBti0206878	FBti0206878	ACOX1	TI{CRIMIC.TG4.1}	1	-	83244 y[1] w[*]; TI{CRIMIC.TG4.1}ACOX1[CR00998-TG4.1]/SM6a	TI{CRIMIC.TG4.1}ACOX1[CR00998-TG4.1]
FBti0206879	FBti0206879	OtopLb	TI{CRIMIC.TG4.2}	-1	-	83248 y[1] w[*]; TI{CRIMIC.TG4.2}OtopLb[CR01008-TG4.2]/SM6a	TI{CRIMIC.TG4.2}OtopLb[CR01008-TG4.2]
FBti0206880	FBti0206880	CG10211	TI{CRIMIC.TG4.2}	1	-	83250 y[1] w[*]; TI{CRIMIC.TG4.2}CG10211[CR01040-TG4.2]/SM6a	TI{CRIMIC.TG4.2}CG10211[CR01040-TG4.2]
FBti0206881	FBti0206881	Rab3GAP1 <newline> haf	TI{CRIMIC.TG4.2}	-1	-	83251 y[1] w[*]; TI{CRIMIC.TG4.2}Rab3GAP1[CR01042-TG4.2] haf[CR01042-TG4.2-X]	TI{CRIMIC.TG4.2}Rab3GAP1[CR01042-TG4.2]
FBti0206883	FBti0206883	CanB2	TI{CRIMIC.TG4.0}	1	-	83254 y[1] w[*]; TI{CRIMIC.TG4.0}CanB2[CR01186-TG4.0]/SM6a	TI{CRIMIC.TG4.0}CanB2[CR01186-TG4.0]
FBti0206884	FBti0206884	sut2	TI{CRIMIC.TG4.0}	1	-	83255 y[1] w[*]; TI{CRIMIC.TG4.0}sut2[CR01187-TG4.0]	TI{CRIMIC.TG4.0}sut2[CR01187-TG4.0]
FBti0206885	FBti0206885	IP3K1	TI{CRIMIC.TG4.0}	1	-	83257 y[1] w[*]; TI{CRIMIC.TG4.0}IP3K1[CR01194-TG4.0]	TI{CRIMIC.TG4.0}IP3K1[CR01194-TG4.0]
FBti0206886	FBti0206886	vkg	TI{CRIMIC.TG4.0}	-1	-	83258 y[1] w[*]; TI{CRIMIC.TG4.0}vkg[CR01302-TG4.0]	TI{CRIMIC.TG4.0}vkg[CR01302-TG4.0]
FBti0206887	FBti0206887	CG33199 <newline> CG8229	TI{CRIMIC.TG4.0}	-1	-	83259 y[1] w[*]; TI{CRIMIC.TG4.0}CG33199[CR01309-TG4.0] CG8229[CR01309-TG4.0-X]/SM6a	TI{CRIMIC.TG4.0}CG33199[CR01309-TG4.0]
FBti0206888	FBti0206888	Rpn8 <newline> Slik	TI{CRIMIC.TG4.0}	-1	-	83260 y[1] w[*]; TI{CRIMIC.TG4.0}Slik[CR01310-TG4.0] Rpn8[CR01310-TG4.0-X]/SM6a	TI{CRIMIC.TG4.0}Slik[CR01310-TG4.0]
FBti0206889	FBti0206889	Tsp42Ej	TI{CRIMIC.TG4.0}	1	-	83261 y[1] w[*]; TI{CRIMIC.TG4.0}Tsp42Ej[CR01312-TG4.0]	TI{CRIMIC.TG4.0}Tsp42Ej[CR01312-TG4.0]
FBti0206890	FBti0206890	CalpA	TI{CRIMIC.TG4.0}	1	-	83262 y[1] w[*]; TI{CRIMIC.TG4.0}CalpA[CR01313-TG4.0]	TI{CRIMIC.TG4.0}CalpA[CR01313-TG4.0]
